model,taxonomy,num,homogeneity,completeness,v_measure, nmi
PROGEN2_XLARGE,order,0,0.6376739655281876,0.7382606319841436,0.6842906423631168,0.6842906423631168
PROGEN2_XLARGE,order,1,0.6390043615942609,0.7598085018759823,0.6941899940362999,0.6941899940362999
PROGEN2_XLARGE,order,2,0.6871022104189514,0.767913265828369,0.7252636291148589,0.7252636291148589
PROGEN2_XLARGE,order,3,0.6167288924349047,0.6954356451229942,0.6537217595815917,0.6537217595815917
PROGEN2_XLARGE,order,4,0.6585183040495467,0.7615590523380783,0.7063003621928909,0.7063003621928909
PROGEN2_XLARGE,family,0,0.6699993423390054,0.768329355681874,0.7158032287264209,0.7158032287264209
PROGEN2_XLARGE,family,1,0.7468943818931831,0.8376044017466951,0.7896528900785739,0.7896528900785738
PROGEN2_XLARGE,family,2,0.6318259118178509,0.7290454554371669,0.6769630410659224,0.6769630410659225
PROGEN2_XLARGE,family,3,0.5575876695797563,0.7086551174890522,0.6241099408924285,0.6241099408924285
PROGEN2_XLARGE,family,4,0.6558345497936787,0.7463778410430378,0.6981829265741234,0.6981829265741234
PROGEN2_XLARGE,species,0,0.7716737785950105,0.8491590251862858,0.8085642788877994,0.8085642788877992
PROGEN2_XLARGE,species,1,0.7552194971364883,0.8594264815295672,0.8039603031034213,0.8039603031034214
PROGEN2_XLARGE,species,2,0.7009548340698918,0.8230009697134871,0.7570908640955291,0.7570908640955291
PROGEN2_XLARGE,species,3,0.7211211365974239,0.8398102885325489,0.7759533058825768,0.7759533058825769
PROGEN2_XLARGE,species,4,0.6798518227531068,0.7799885703920415,0.726485790909192,0.7264857909091919
PROGEN2_XLARGE,genus,0,0.544447637238539,0.7070083644957245,0.6151699029356965,0.6151699029356966
PROGEN2_XLARGE,genus,1,0.685029688466692,0.7828965303915686,0.730700711556096,0.7307007115560961
PROGEN2_XLARGE,genus,2,0.7230640512646206,0.8074319118427556,0.7629226125000906,0.7629226125000906
PROGEN2_XLARGE,genus,3,0.6775149264311047,0.7963809768494353,0.7321548255074798,0.7321548255074797
PROGEN2_XLARGE,genus,4,0.7448247231167611,0.844429679203945,0.7915058798468356,0.7915058798468356
PROGEN2_XLARGE,class,0,0.6795847876634613,0.7597796830914634,0.7174481864678991,0.7174481864678991
PROGEN2_XLARGE,class,1,0.6195903654101597,0.7177573679983624,0.6650709292795305,0.6650709292795306
PROGEN2_XLARGE,class,2,0.6972908965355218,0.7722057214338528,0.7328387329703842,0.7328387329703843
PROGEN2_XLARGE,class,3,0.624070635560309,0.7324213220835866,0.6739186876780855,0.6739186876780855
